"WMA","Cutoff_Date"
"567",1950.41670031358
"569",1936.80632570871
"577",1970.70962894379
"582",1849
"584",1800
"586",1860.22932935725
"587",1868.10985163471
"588",1800.36127437567
"59",1870.70677018003
"590",1891.22768477974
"591",1939.34833875909
"592",1943.58388402742
"593",1800.335988983
"594",1868
"595",1860.67500326011
"599",1881
"6",1955.3318974366
"608",1862.99521860904
"609",1856.95401272548
"610",1900.40261985729
"611",1847.99887987218
"615",1860.74397339258
"618",1849.00974152602
"619",1850.88452027964
"620",1853.01791672704
"622",1846
"623",1850
"625",1860.0017748094
"626",1849.93365674
"628",1859.60909326595
"629",1862.89078827021
"631",1861.94993766537
"632",1856.42050450015
"633",1855.93967926174
"635",1854.40286993968
"65",1867.21893589296
"651",1917.41153124282
"652",1923.55500990979
"659",1812.00485837503
"660",2001
"664",1985
"667",1984.28492447945
"671",2005.19557760453
"672",1982
"678",1918.51533940524
"688",1894.08074813891
"694",1946.46293030747
"697",1806.50548204431
"698",2003.23068610483
"708",1963.29882066896
"711",1996
"721",2008.50679609135
"73",1934.97948002952
"732",1916.01171981946
"736",1800
"740",1913.95852951194
"742",1800
"743",1948.08836303662
"744",1926.6696149683
"750",1923.46434574995
"752",1922.40927006023
"755",2004
"757",1918
"76",1899.88861981335
"763",1941.23744721391
"77",1913.4158633261
"771",1916.9852349913
"772",1998.43521445276
"773",1917.63999769495
"775",1801.29988324634
"776",1989.79659512611
"777",1923.47876097399
"779",1943.7824705462
"781",1922.728534138
"786",1949.14386779857
"787",1931.01705588137
"79",1902.97015816734
"794",1930.15796562226
"795",1933.38571440198
"796",1801.00639287419
"797",1926.93055312977
"8",1878.68814772292
"800",1919.50065857626
"803",1941.30148273777
"804",1925.82444642007
"806",1918.02482807234
"809",1946.36096998191
"818",1944.77761897675
"819",1800.3792149734
"821",1924.24998169685
"823",1929.96327068948
"826",1914.54070900539
"830",1931.81564093823
"833",1872
"835",1867.34370609777
"838",1860.87298403305
"839",1919.53098513743
"840",1888.82609859686
"841",1861.51967460308
"842",1937.72941675851
"844",1863.07877503258
"845",1861.64651696903
"846",1879.15072978541
"848",1906.55459482617
"85",1974
"853",1882.50203449405
"855",1891.27245707876
"857",1880.9840649807
"859",1896.84976262165
"864",1881.01404283013
"866",1857.77440255718
"867",1880.02398194347
"869",1861.66443822825
"871",1871.10545508444
"872",1912.27017832524
"873",1877.59477424308
"875",1869.86839676065
"876",1872.17290184398
"877",1870.50017453694
"879",1878.756741019
"880",1865.29116678104
"885",1930.22795777873
"887",1896.88424761453
"888",1883.60589694386
"889",1887.31961398123
"89",1882.7477466895
"890",1880.29499653843
"891",1866.81442253792
"892",1867.49602596733
"893",1855.01469260832
"894",1891.03873774197
"895",1871.12480406909
"897",1870.3230066695
"899",1868.27850613739
"900",1916.07740605033
"901",1880.13172972899
"903",1881.57441408639
"907",1889.06692203134
"94",1884.4106414636
"97",1891.79716605864
